|  Class   | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | MAX Accuracy | MAX Confidence | Max compliment acc | Max compliment conf | Total Masked | Intersedction |
+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
| Class 73 |      1.0      |      0.9966     |        0.9997       |        0.9954        |     1.0      |     0.9656     |       0.9997       |        0.9901       |     1.0      |     0.8168     |       0.9997       |        0.9899       |     115      |       55      |
| Class 74 |      1.0      |      0.9946     |        0.9997       |        0.9954        |     1.0      |     0.9177     |       0.9998       |         0.99        |     1.0      |     0.7485     |       0.9995       |        0.9903       |     115      |       58      |
| Class 75 |      1.0      |      0.9972     |        0.9997       |        0.9954        |     1.0      |     0.9627     |       0.9997       |        0.9903       |     1.0      |     0.8858     |       0.9997       |        0.9899       |     115      |       54      |
| Class 76 |     0.9997    |      0.9954     |        0.9997       |        0.9954        |    0.9995    |     0.9883     |       0.9995       |        0.9883       |    0.9997    |     0.9874     |       0.9997       |        0.9873       |     115      |       48      |
+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+

Max and STD 15%:


+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
|  Class   | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | MAX Accuracy | MAX Confidence | Max compliment acc | Max compliment conf | Total Masked | Intersedction |
+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
| Class 0  |      1.0      |      0.9967     |        0.9997       |        0.9954        |     1.0      |     0.9795     |       0.9997       |        0.9903       |     1.0      |     0.821      |       0.9995       |         0.99        |     115      |       45      |
| Class 1  |      1.0      |      0.9966     |        0.9997       |        0.9954        |     1.0      |     0.9413     |       0.9996       |        0.9904       |     1.0      |     0.8154     |       0.9997       |         0.99        |     115      |       56      |
| Class 2  |      1.0      |      0.997      |        0.9997       |        0.9954        |     1.0      |     0.9473     |       0.9995       |        0.9902       |     1.0      |     0.7696     |       0.9997       |        0.9901       |     115      |       48      |
| Class 3  |      1.0      |      0.9941     |        0.9997       |        0.9955        |     1.0      |     0.9465     |       0.9997       |         0.99        |     1.0      |     0.8216     |       0.9996       |         0.99        |     115      |       49      |
| Class 4  |      1.0      |      0.9965     |        0.9997       |        0.9954        |     1.0      |     0.9366     |       0.9997       |        0.9899       |     1.0      |     0.7816     |       0.9995       |        0.9899       |     115      |       48      |
| Class 5  |      1.0      |      0.9947     |        0.9997       |        0.9955        |    0.9942    |     0.8129     |       0.9997       |         0.99        |    0.9942    |     0.7237     |       0.9996       |        0.9901       |     115      |       49      |
| Class 6  |      1.0      |      0.9973     |        0.9997       |        0.9954        |     1.0      |     0.9688     |       0.9997       |        0.9899       |     1.0      |     0.8453     |       0.9995       |        0.9898       |     115      |       55      |
| Class 7  |      1.0      |      0.9954     |        0.9997       |        0.9954        |     1.0      |     0.9674     |       0.9995       |        0.9905       |     1.0      |     0.8537     |       0.9996       |         0.99        |     115      |       52      |
| Class 8  |      1.0      |      0.9965     |        0.9997       |        0.9954        |     1.0      |     0.9663     |       0.9996       |        0.9906       |     1.0      |     0.8098     |       0.9996       |        0.9898       |     115      |       54      |
| Class 9  |      1.0      |      0.9965     |        0.9997       |        0.9954        |     1.0      |     0.9496     |       0.9995       |        0.9903       |     1.0      |     0.7903     |       0.9997       |        0.9902       |     115      |       53      |
| Class 10 |      1.0      |      0.9883     |        0.9997       |        0.9955        |     1.0      |     0.9276     |       0.9996       |        0.9902       |     1.0      |     0.7986     |       0.9996       |        0.9902       |     115      |       55      |
| Class 11 |      1.0      |      0.9964     |        0.9997       |        0.9954        |     1.0      |     0.9729     |       0.9995       |        0.9907       |     1.0      |     0.8864     |       0.9997       |        0.9897       |     115      |       51      |
| Class 12 |      1.0      |      0.9954     |        0.9997       |        0.9954        |     1.0      |     0.9436     |       0.9997       |        0.9905       |     1.0      |     0.7387     |       0.9995       |        0.9902       |     115      |       52      |
| Class 13 |      1.0      |      0.9961     |        0.9997       |        0.9954        |     1.0      |     0.9619     |       0.9997       |        0.9901       |     1.0      |     0.8499     |       0.9998       |         0.99        |     115      |       56      |
| Class 14 |      1.0      |      0.9955     |        0.9997       |        0.9954        |     1.0      |     0.9199     |       0.9996       |        0.9904       |     1.0      |     0.8154     |       0.9997       |        0.9903       |     115      |       53      |
| Class 15 |      1.0      |      0.9972     |        0.9997       |        0.9954        |     1.0      |     0.964      |       0.9998       |        0.9903       |     1.0      |     0.874      |       0.9995       |        0.9901       |     115      |       57      |
| Class 16 |      1.0      |      0.9962     |        0.9997       |        0.9954        |     1.0      |     0.9662     |       0.9997       |        0.9903       |     1.0      |     0.8627     |       0.9997       |        0.9901       |     115      |       51      |
| Class 17 |      1.0      |      0.9958     |        0.9997       |        0.9954        |     1.0      |     0.9557     |       0.9998       |        0.9903       |     1.0      |     0.8384     |       0.9997       |        0.9901       |     115      |       53      |
| Class 18 |      1.0      |      0.9905     |        0.9997       |        0.9955        |     1.0      |     0.8783     |       0.9997       |        0.9904       |     1.0      |     0.7586     |       0.9997       |        0.9904       |     115      |       53      |
| Class 19 |      1.0      |      0.9977     |        0.9997       |        0.9954        |     1.0      |     0.9722     |       0.9997       |        0.9902       |     1.0      |     0.7784     |       0.9995       |        0.9901       |     115      |       54      |
| Class 20 |      1.0      |      0.9968     |        0.9997       |        0.9954        |     1.0      |     0.968      |       0.9997       |        0.9905       |     1.0      |     0.8739     |       0.9995       |        0.9898       |     115      |       53      |
| Class 21 |      1.0      |      0.9968     |        0.9997       |        0.9954        |     1.0      |     0.9482     |       0.9996       |        0.9904       |     1.0      |     0.8505     |       0.9996       |         0.99        |     115      |       57      |
