|  Class   | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | MAX Accuracy | MAX Confidence | Max compliment acc | Max compliment conf | Total Masked | Intersedction |
+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
| Class 62 |      1.0      |      0.9948     |        0.9997       |        0.9954        |     1.0      |     0.7412     |       0.9995       |        0.9376       |     1.0      |     0.7424     |       0.9995       |        0.9375       |     230      |  tensor(-115) |
| Class 63 |      1.0      |      0.9976     |        0.9997       |        0.9954        |     1.0      |     0.8335     |       0.9997       |        0.9361       |     1.0      |     0.8308     |       0.9997       |        0.9363       |     230      |      230      |
| Class 64 |      1.0      |      0.997      |        0.9997       |        0.9954        |     1.0      |     0.8133     |       0.9997       |        0.9374       |     1.0      |     0.8116     |       0.9998       |        0.9373       |     230      |  tensor(-115) |
| Class 65 |      1.0      |      0.9959     |        0.9997       |        0.9954        |     1.0      |     0.7373     |       0.9998       |        0.9382       |     1.0      |     0.7462     |       0.9998       |        0.9376       |     230      |      229      |
| Class 66 |     0.9942    |      0.9958     |        0.9998       |        0.9954        |    0.9942    |     0.7703     |       0.9999       |        0.9377       |    0.9942    |     0.7642     |       0.9999       |        0.9372       |     230      |  tensor(-115) |
| Class 67 |      1.0      |      0.9959     |        0.9997       |        0.9954        |     1.0      |     0.721      |       0.9997       |        0.9379       |     1.0      |     0.721      |       0.9997       |        0.9379       |     230      |      230      |
| Class 68 |      1.0      |      0.9949     |        0.9997       |        0.9954        |     1.0      |     0.8237     |       0.9997       |        0.9375       |     1.0      |     0.8237     |       0.9997       |        0.9375       |     230      |  tensor(-115) |
| Class 69 |      1.0      |      0.9937     |        0.9997       |        0.9955        |     1.0      |     0.7938     |       0.9997       |        0.9356       |     1.0      |     0.7948     |       0.9997       |        0.9358       |     230      |      230      |
| Class 70 |      1.0      |      0.9964     |        0.9997       |        0.9954        |     1.0      |     0.8133     |       0.9997       |        0.9365       |     1.0      |     0.8133     |       0.9997       |        0.9365       |     230      |  tensor(-115) |
| Class 71 |      1.0      |      0.9965     |        0.9997       |        0.9954        |     1.0      |     0.7775     |       0.9997       |        0.9375       |     1.0      |     0.7775     |       0.9997       |        0.9375       |     230      |      230      |
| Class 72 |      1.0      |      0.9833     |        0.9997       |        0.9955        |     1.0      |     0.714      |       0.9997       |        0.9368       |     1.0      |     0.714      |       0.9997       |        0.9368       |     230      |  tensor(-115) |
| Class 73 |      1.0      |      0.9966     |        0.9997       |        0.9954        |     1.0      |     0.8186     |       0.9997       |        0.935        |     1.0      |     0.8136     |       0.9997       |        0.9348       |     230      |      229      |
| Class 74 |      1.0      |      0.9946     |        0.9997       |        0.9954        |     1.0      |     0.7901     |       0.9997       |        0.935        |     1.0      |     0.7896     |       0.9997       |        0.9353       |     230      |  tensor(-115) |
| Class 75 |      1.0      |      0.9972     |        0.9997       |        0.9954        |     1.0      |     0.8271     |       0.9998       |        0.9366       |     1.0      |     0.8271     |       0.9998       |        0.9366       |     230      |      224      |
| Class 76 |      1.0      |      0.9962     |        0.9997       |        0.9954        |     1.0      |     0.7745     |       0.9998       |        0.9372       |     1.0      |     0.7745     |       0.9998       |        0.9372       |     230      |  tensor(-115) |
+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+

Max and STD:

+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
|  Class   | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | MAX Accuracy | MAX Confidence | Max compliment acc | Max compliment conf | Total Masked | Intersedction |
+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
| Class 0  |      1.0      |      0.9967     |        0.9997       |        0.9954        |     1.0      |     0.8617     |       0.9996       |        0.9372       |     1.0      |     0.8512     |       0.9994       |        0.9389       |     230      |  tensor(-115) |
| Class 1  |      1.0      |      0.9966     |        0.9997       |        0.9954        |     1.0      |     0.7452     |       0.9996       |        0.9371       |     1.0      |     0.7464     |       0.9995       |        0.9368       |     230      |      209      |
| Class 2  |      1.0      |      0.997      |        0.9997       |        0.9954        |     1.0      |     0.8418     |       0.9997       |        0.9363       |     1.0      |     0.7992     |       0.9997       |        0.9356       |     230      |  tensor(-115) |
| Class 3  |      1.0      |      0.9941     |        0.9997       |        0.9955        |     1.0      |     0.8634     |       0.9998       |        0.9367       |     1.0      |     0.8699     |       0.9998       |        0.9369       |     230      |      219      |
| Class 4  |      1.0      |      0.9965     |        0.9997       |        0.9954        |     1.0      |     0.8364     |       0.9997       |        0.9382       |     1.0      |     0.8233     |       0.9996       |        0.9377       |     230      |  tensor(-115) |
| Class 5  |      1.0      |      0.9947     |        0.9997       |        0.9955        |     1.0      |     0.8439     |       0.9997       |        0.941        |     1.0      |     0.8041     |       0.9997       |        0.9407       |     230      |      204      |
| Class 6  |     0.9997    |      0.9954     |        0.9997       |        0.9954        |    0.9997    |     0.9359     |       0.9997       |        0.9355       |    0.9995    |     0.9363     |       0.9995       |        0.9359       |     230      |  tensor(-115) |
| Class 7  |      1.0      |      0.9954     |        0.9997       |        0.9954        |     1.0      |     0.8371     |       0.9997       |        0.9374       |     1.0      |     0.8323     |       0.9996       |        0.9366       |     230      |      218      |
| Class 8  |      1.0      |      0.9965     |        0.9997       |        0.9954        |     1.0      |     0.8264     |       0.9996       |        0.9359       |     1.0      |     0.829      |       0.9997       |        0.9362       |     230      |  tensor(-115) |
| Class 9  |      1.0      |      0.9965     |        0.9997       |        0.9954        |     1.0      |     0.8481     |       0.9997       |        0.9353       |     1.0      |     0.8295     |       0.9997       |        0.9351       |     230      |      214      |
| Class 10 |      1.0      |      0.9883     |        0.9997       |        0.9955        |     1.0      |     0.7504     |       0.9997       |        0.9389       |     1.0      |     0.7618     |       0.9997       |        0.9382       |     230      |  tensor(-115) |
| Class 11 |      1.0      |      0.9964     |        0.9997       |        0.9954        |     1.0      |     0.8617     |       0.9995       |        0.9395       |     1.0      |     0.866      |       0.9994       |        0.939        |     230      |      202      |
| Class 12 |      1.0      |      0.9954     |        0.9997       |        0.9954        |     1.0      |     0.8067     |       0.9997       |        0.9357       |     1.0      |     0.7901     |       0.9997       |        0.9359       |     230      |  tensor(-115) |
| Class 13 |      1.0      |      0.9961     |        0.9997       |        0.9954        |     1.0      |     0.869      |       0.9994       |        0.939        |     1.0      |     0.8684     |       0.9997       |        0.9392       |     230      |       2       |
| Class 14 |      1.0      |      0.9955     |        0.9997       |        0.9954        |     1.0      |     0.7522     |       0.9998       |        0.9363       |     1.0      |     0.7279     |       0.9998       |        0.9368       |     230      |  tensor(-115) |
