Banking77

Low STD MAX

+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
|  Class   | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | MAX Accuracy | MAX Confidence | Max compliment acc | Max compliment conf | Total Masked | Intersedction |
| Class 40 |      1.0      |      0.9672     |        0.9995       |        0.9722        |    0.9796    |     0.9187     |       0.9998       |        0.9757       |    0.9694    |     0.691      |       0.9997       |        0.9729       |     230      |  tensor(-115) |
| Class 41 |      1.0      |      0.9391     |        0.9994       |        0.9705        |     1.0      |     0.9549     |       0.9996       |        0.9758       |     1.0      |     0.6298     |       0.9997       |        0.9762       |     230      |      113      |
| Class 42 |      1.0      |      0.9737     |        0.9997       |        0.9733        |     1.0      |     0.9723     |       0.9995       |        0.9757       |     1.0      |     0.6703     |       0.9997       |        0.9753       |     230      |  tensor(-115) |
| Class 43 |      1.0      |      0.9751     |        0.9997       |        0.9716        |     1.0      |     0.9769     |       0.9998       |        0.976        |     1.0      |     0.8043     |       0.9998       |        0.9752       |     230      |      110      |
| Class 44 |      1.0      |      0.9827     |        0.9998       |        0.9731        |     1.0      |     0.9406     |       0.9996       |        0.9746       |     1.0      |     0.6115     |       0.9996       |        0.9742       |     230      |  tensor(-115) |
| Class 45 |      1.0      |      0.9707     |        0.9996       |        0.9704        |     1.0      |     0.9791     |       0.9996       |        0.9749       |     1.0      |     0.8008     |       0.9995       |        0.974        |     230      |      111      |
| Class 46 |      1.0      |      0.9728     |        0.9995       |        0.9712        |     1.0      |     0.955      |       0.9996       |        0.9765       |    0.993     |     0.6987     |       0.9998       |        0.9734       |     230      |  tensor(-115) |
| Class 47 |      1.0      |      0.9743     |        0.9997       |        0.9695        |    0.9933    |     0.9431     |       0.9997       |        0.976        |    0.9799    |     0.5657     |       0.9997       |        0.9748       |     230      |      111      |
| Class 48 |      1.0      |      0.9769     |        0.9994       |        0.9687        |     1.0      |     0.9643     |       0.9996       |        0.9759       |     1.0      |     0.6657     |       0.9997       |        0.9755       |     230      |  tensor(-115) |
| Class 49 |      1.0      |      0.9757     |        0.9997       |        0.9708        |     1.0      |     0.9508     |       0.9995       |        0.9749       |     1.0      |     0.5563     |       0.9995       |        0.9729       |     230      |      103      |
| Class 50 |      1.0      |      0.973      |        0.9995       |        0.9681        |     1.0      |     0.9618     |       0.9996       |        0.9754       |     1.0      |     0.7044     |       0.9995       |        0.9739       |     230      |  tensor(-115) |
| Class 51 |      1.0      |      0.9744     |        0.9995       |        0.9713        |     1.0      |     0.976      |       0.9995       |        0.9752       |     1.0      |     0.7698     |       0.9997       |        0.9747       |     230      |      104      |
